id,group,measurement,datum_from,datum_to,units,design_target,tolerance_or_limit,measured_min,measured_max,tool,status,inspection_record
M056,pcb,Carrier top-side gap to panel underside,carrier F.Cu highest non-panel component,panel underside,mm,4.0 minimum,>=4.0 after tolerance; panel connector geometry controls,,,,OPEN,
M057,pcb,Carrier bottom copper-plane height,deepest interior floor,carrier B.Cu surface,mm,TBD,record minimum at all supports,,,,OPEN,
M058,power,PSU guard clearance to carrier B.Cu,PSU guard envelope,carrier B.Cu keepout plane,mm,10.0 minimum,>=10.0 after tolerance and vibration,,,,OPEN,
M059,display,Monitor documented body width,left body edge,right body edge,mm,396.24 nominal,controlled Amazon ASIN listing value; installed fit uses M062-M065,396.24,396.24,Amazon product information,COMPLETE,ASIN B0GK5X95D9 accessed 2026-08-16
M060,display,Monitor documented body height,top body edge,bottom body edge,mm,203.20 nominal,controlled Amazon ASIN listing value; installed fit uses M062-M065,203.20,203.20,Amazon product information,COMPLETE,ASIN B0GK5X95D9 accessed 2026-08-16
M061,display,Monitor documented body depth,rear body surface,front glass,mm,20.32 nominal,controlled Amazon ASIN listing value; mount and connector protrusions use M062,20.32,20.32,Amazon product information,COMPLETE,ASIN B0GK5X95D9 accessed 2026-08-16
M062,display,Monitor total lid protrusion,lid cavity back surface,front glass or bezel,mm,TBD,include mount padding screws and cable heads,,,,OPEN,
M063,display,Monitor left-right position in lid,lid cavity left wall,monitor body edges,mm,TBD,record both margins and centering error,,,,OPEN,
M064,display,Monitor hinge-operator position in lid,lid cavity hinge wall,monitor body edges,mm,TBD,record both margins and harness keepout,,,,OPEN,
M065,lid,Minimum closed-lid permanent-hardware clearance,display front,tallest permanent panel hardware,mm,8.0 minimum,>=8.0 through gasket compression lid flex and tolerance,,,,OPEN,
M066,battery,QRC-GOLD plate protrusion,A,tallest dock or latch point,mm,published body approximately 12.7,measure full latch and backplate stack,,,,OPEN,
M067,battery,Battery plus QRC-GOLD total protrusion,A,tallest installed battery point,mm,preliminary approximately 70.7,record actual; transport state is battery removed,,,,OPEN,
M068,rf,Folded RF antenna protrusion,A,tallest hinge housing or folded antenna surface,mm,32.0 preliminary maximum,measure every installed antenna and record the worst case,,,,OPEN,
M069,rf,Folded RF transport closure sweep,display lid and neighboring panel hardware,all eight installed and folded RF antennas,mm,8.0 minimum,fold each antenna inboard and verify the full closing and latched sweep without contact,,,,OPEN,
M070,thermal,Clean-filter through-case airflow,right intake,operator exhaust,CFM,15.0 minimum,>=15.0 at released PWM and nominal line voltage,,,,OPEN,
M071,thermal,Loaded-filter through-case airflow,right intake,operator exhaust,CFM,12.0 minimum,>=12.0 at maintenance loading limit,,,,OPEN,
M072,thermal,PSU inlet-air temperature at qualification,PSU inlet sensor,ambient chamber,C,50.0 maximum,<=50.0 at 45 C ambient and 151.7 W continuous load,,,,OPEN,
M073,vibration,Panel deflection under battery insertion and field load,A,QRC-GOLD fastener region,mm,TBD,no permanent set contact or frame lift,,,,OPEN,
M074,vibration,AUDIO-8X8 maximum unsupported span,PCB support,adjacent PCB support,mm,TBD,six supports minimum and engineering review,,,,OPEN,
M075,vibration,CM5-CARRIER maximum unsupported span,PCB support,adjacent PCB support,mm,TBD,six supports minimum and engineering review,,,,OPEN,
M076,thermal,CM5 fan inlet gap under tolerance and vibration,fan inlet,nearest floor tray or harness,mm,10.0 minimum,>=10.0 in worst case,,,,OPEN,
M077,thermal,Modem fan inlet gap under tolerance and vibration,fan inlet,nearest floor tray or harness,mm,10.0 minimum,>=10.0 in worst case,,,,OPEN,
M078,safety,PSU chassis and panel protective-earth continuity,AC inlet PE,PSU case panel frame and tray,milliohm,TBD,record test method and pass limit from safety plan,,,,OPEN,
M079,harness,Display harness full-motion clearance,H03 bundle,case frame PSU fans and sharp edges,mm,3.0 minimum static plus bend requirement,no tension pinch rub fan entry or hot-surface contact,,,,OPEN,
M080,material,Panel finish and grounding coupon,finished panel,PE bond and connector samples,inspection,5052-H32 3.175 mm matte black,fit adhesion corrosion and masked-bond approval,,,,OPEN,
